"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"268","2020","Idaho",5.5,515.366,1849202,75220,216443,214045,2398,305717,15.9,287,10.1
"269","2020","Illinois",9.3,404.397,12786580,83790,149995,143793,6202,2220409,28.1,3549,11
"270","2020","Indiana",7.3,435.624,6788799,75310,94326,92789,1537,1482396,36.7,2321,11.6
"271","2020","Iowa",5.2,431.334,3190571,77570,145746,144669,1077,647371,14.3,432,10.2
"272","2020","Kansas",5.8,446.624,2937919,82380,213100,211754,1346,494226,17.4,490,10.6
"273","2020","Kentucky",6.5,423.022,4507445,63980,104656,102269,2387,990196,49.2,2083,14.9
"274","2020","Louisiana",8.6,371.174,4651664,57700,135659,111898,23761,1044356,42.7,1896,17.8
"275","2020","Maine",5.1,446.212,1363557,71800,91633,79883,11750,307457,39.7,496,10.6
"276","2020","Maryland",6.5,423.891,6173205,106900,32131,25142,6990,1006008,44.6,2771,9
"277","2020","Massachusetts",9.4,451.553,6995729,98980,27336,20202,7134,1133358,33.9,2302,9.4
"278","2020","Michigan",10,424.381,10069577,72590,250487,146435,104052,1955654,28.6,2759,12.6
"279","2020","Minnesota",6.3,440.44,5709852,88770,225163,206232,18930,921198,19,1050,8.3
"280","2020","Mississippi",8,400.313,2958141,50880,125438,121531,3907,596914,21.1,586,18.7
"281","2020","Missouri",6.1,416.526,6153998,70090,180540,178040,2501,1275987,32.1,1875,12.1
"282","2020","Montana",5.8,441.658,1087075,63960,380831,376962,3869,206206,15.6,162,12.4
"283","2020","Nebraska",4.3,460.025,1962642,81440,200330,198974,1356,324098,11.3,214,9.2
"284","2020","Nevada",13.5,453.141,3115648,68950,286380,284332,2048,584698,26,832,12.5
"285","2020","New Hampshire",6.7,443.385,1378587,100200,24214,23187,1027,264953,30.3,393,7
"286","2020","New Jersey",9.4,414.02,9271689,96430,22591,19047,3544,1649853,32.1,2840,9.4
"287","2020","New Mexico",7.9,420.794,2118390,57380,314917,314161,757,370125,39,784,16.8
"288","2020","New York",9.8,431.403,20108296,77400,141297,122057,19240,3474389,25.4,4965,12.7
"289","2020","North Carolina",7.2,455.326,10449445,68120,139391,125920,13471,1806403,30.9,3146,12.9
"290","2020","North Dakota",5,414.053,779518,72270,183108,178711,4397,129837,15.6,114,10.2
"291","2020","Ohio",8.2,435.477,11797517,68060,116098,105829,10269,2629870,47.2,5204,12.6
"292","2020","Oklahoma",6.3,440.282,3964912,59150,181037,177660,3377,812618,19.4,762,14.3
"293","2020","Oregon",7.6,494.227,4244795,86630,254799,248608,6191,667341,18.7,803,11
"294","2020","Pennsylvania",8.9,420.392,12994440,79800,119280,115883,3397,3072381,42.4,5168,10.9
"295","2020","Rhode Island",9.2,399.481,1096345,90380,4001,2678,1324,207358,38.2,397,10.6
"296","2020","South Carolina",6,468.948,5131848,68020,82933,77857,5076,1014022,34.9,1739,13.8
"297","2020","South Dakota",4.2,431.897,887799,79120,199729,196350,3379,175340,10.3,83,11.6
"298","2020","Tennessee",7.5,451.843,6925619,61970,109153,106798,2355,1479648,45.6,3034,13.6
"299","2020","Texas",7.7,491.862,29232474,77110,695662,676587,19075,4559034,14.1,4172,13.4
"300","2020","Utah",4.8,540.349,3283785,94680,219882,212818,7064,425180,20.5,622,7.3
"301","2020","Vermont",5.7,397.584,642893,75810,24906,23871,1035,124892,32.9,190,9.4
"302","2020","Virginia",6.5,429.54,8636471,92670,110787,102279,8508,1392823,26.6,2240,9.2
"303","2020","Washington",8.5,538.141,7724031,91710,184661,172119,12542,1133689,22,1733,9.5
"304","2020","West Virginia",8.2,400.694,1791420,58580,62756,62259,497,513143,81.4,1330,15.8
"305","2020","Wisconsin",6.4,423.093,5896271,75980,169635,140268,29367,1205321,27.7,1531,10
"306","2020","Wyoming",5.9,373.369,577605,73780,253335,251470,1864,112183,17.4,99,9.2
"307","2021","Alabama",3.4,443.824,5049846,61390,135767,131171,4597,1041209,30.1,1408,16.3
"308","2021","Alaska",6.4,349.116,734182,87490,1723337,1477953,245383,137873,35.6,260,10.8
"309","2021","Arizona",5.1,512.313,7264877,76370,295234,294207,1026,1125498,38.7,2730,12.9
"310","2021","Arkansas",4.1,454.77,3028122,54760,137732,134771,2961,688732,22.3,637,16
"311","2021","California",7.3,544.175,39142991,87960,423967,403466,20501,5477154,26.6,10901,12.3
"312","2021","Colorado",5.4,540.075,5811297,91610,269601,268431,1170,810976,31.4,1887,9.7
"313","2021","Connecticut",6.3,409.371,3623355,87300,14357,12542,1816,656949,42.3,1552,10.1
"314","2021","Delaware",5.5,413.151,1004807,74070,6446,5047,1399,209928,54,513,11.5
"315","2021","District of Columbia",6.8,452.876,668791,97740,177,158,19,75562,NA,NA,16.8
"316","2021","Florida",4.6,528.975,21828069,64410,170312,138887,31424,4282929,37.5,7827,13.2
"317","2021","Georgia",3.9,513.924,10788029,66310,153910,148959,4951,1925348,23.5,2500,14.2
"318","2021","Hawaii",6,414.697,1447154,88630,28313,16635,11678,273929,17.3,269,10.9
"319","2021","Idaho",3.5,549.303,1904314,82940,216443,214045,2398,314521,19,354,10.8
"320","2021","Illinois",6.1,429.549,12686469,85460,149995,143793,6202,2226182,29,3762,12.1
"321","2021","Indiana",3.9,460.865,6813532,75690,94326,92789,1537,1485995,43,2811,12.1
"322","2021","Iowa",3.8,453.526,3197689,78100,145746,144669,1077,648873,15.3,475,11
"323","2021","Kansas",3.3,457.743,2937922,81930,213100,211754,1346,493339,24.3,680,11.6
"324","2021","Kentucky",4.4,444.177,4506589,59980,104656,102269,2387,1000507,55.6,2381,16.3
"325","2021","Louisiana",5.6,375.815,4627098,61690,135659,111898,23761,1036204,55.9,2463,19.5
"326","2021","Maine",4.6,473.882,1377238,76710,91633,79883,11750,307382,47.1,611,11.2
"327","2021","Maryland",5.3,443.363,6174610,105000,32131,25142,6990,1014292,42.8,2737,10.3
"328","2021","Massachusetts",5.5,481.447,6989690,93340,27336,20202,7134,1137085,36.8,2585,10.4
"329","2021","Michigan",5.8,455.915,10037504,69540,250487,146435,104052,1971279,31.5,3089,13
"330","2021","Minnesota",3.8,464.192,5711471,86740,225163,206232,18930,919096,24.5,1356,9.3
"331","2021","Mississippi",5.5,415.549,2949586,50290,125438,121531,3907,588217,28.4,787,19.2
"332","2021","Missouri",4.1,435.579,6169823,68570,180540,178040,2501,1276601,36.5,2155,12.8
"333","2021","Montana",3.4,462.685,1106227,70090,380831,376962,3869,207496,19.5,199,12
"334","2021","Nebraska",2.7,475.58,1963554,84220,200330,198974,1356,326345,11.4,214,10.5
"335","2021","Nevada",6.9,493.585,3146402,69380,286380,284332,2048,587588,29.2,949,14
"336","2021","New Hampshire",3.4,484.605,1387505,95800,24214,23187,1027,269342,32.3,441,7.4
"337","2021","New Jersey",6.6,438.437,9267961,95490,22591,19047,3544,1693560,32.4,3056,10.2
"338","2021","New Mexico",7.1,425.931,2116677,57650,314917,314161,757,371398,51.6,1052,17.7
"339","2021","New York",7,456.179,19857492,78630,141297,122057,19240,3553598,28.7,5842,14
"340","2021","North Carolina",4.9,487.028,10565885,67820,139391,125920,13471,1787594,39.2,3981,13.5
"341","2021","North Dakota",3.1,415.211,777934,74280,183108,178711,4397,131400,17.2,124,10.9
"342","2021","Ohio",5.1,461.235,11764342,67600,116098,105829,10269,2636855,48.1,5397,13.3
"343","2021","Oklahoma",4,441.985,3991225,64800,181037,177660,3377,803726,24.4,960,15.4
"344","2021","Oregon",5.2,522.256,4256301,88260,254799,248608,6191,668083,26.8,1171,12.2
"345","2021","Pennsylvania",6,438.922,13012059,78310,119280,115883,3397,3079339,43.2,5449,12
"346","2021","Rhode Island",5.5,423.442,1096985,80850,4001,2678,1324,213716,41.7,455,12.1
"347","2021","South Carolina",3.9,497.798,5193266,67440,82933,77857,5076,1008011,42.8,2138,14.5
"348","2021","South Dakota",2.6,451.538,896164,79680,199729,196350,3379,174791,12.6,105,11.9
"349","2021","Tennessee",4.5,492.365,6968351,67030,109153,106798,2355,1485813,56.6,3813,13.7
"350","2021","Texas",5.6,510.861,29558864,72680,695662,676587,19075,4563619,16.8,4984,14.2
"351","2021","Utah",2.7,577.272,3339113,94510,219882,212818,7064,435611,21.1,662,8.7
"352","2021","Vermont",3.7,417.858,646972,82040,24906,23871,1035,127128,42.3,252,10.2
"353","2021","Virginia",3.9,453.256,8657365,86550,110787,102279,8508,1402487,30.5,2626,10.3
"354","2021","Washington",5.2,574.367,7740745,94510,184661,172119,12542,1150293,28.1,2264,9.9
"355","2021","West Virginia",5.1,405.808,1785526,50500,62756,62259,497,512232,90.9,1501,16.8
"356","2021","Wisconsin",3.8,442.382,5880101,75420,169635,140268,29367,1209751,31.6,1775,10.8
"357","2021","Wyoming",4.6,374.723,579483,76620,253335,251470,1864,110950,18.9,109,10.6
"358","2022","Alabama",2.6,450.768,5074296,59910,135767,131171,4597,1041725,NA,NA,13.6
"359","2022","Alaska",4,340.635,733583,89740,1723337,1477953,245383,140126,NA,NA,9.6
"360","2022","Arizona",3.8,525.224,7359197,73450,295234,294207,1026,1151380,NA,NA,12.7
"361","2022","Arkansas",3.3,466.512,3045637,53980,137732,134771,2961,693875,NA,NA,16.6
"362","2022","California",4.2,546.237,39029342,85300,423967,403466,20501,5485499,NA,NA,11.2
"363","2022","Colorado",3,557.518,5839926,89930,269601,268431,1170,814208,NA,NA,8.1
"364","2022","Connecticut",4.2,419.295,3626205,90730,14357,12542,1816,650788,NA,NA,10.2
"365","2022","Delaware",4.5,421.812,1018396,80750,6446,5047,1399,208129,NA,NA,9.3
"366","2022","District of Columbia",4.7,461.025,671803,101700,177,158,19,72816,NA,NA,13.4
"367","2022","Florida",2.9,550.221,22244823,65370,170312,138887,31424,4316799,NA,NA,13.5
"368","2022","Georgia",3,528.186,10912876,67730,153910,148959,4951,1943296,NA,NA,11.7
"369","2022","Hawaii",3.5,419.542,1440196,91010,28313,16635,11678,272827,NA,NA,8.8
"370","2022","Idaho",2.7,576.113,1939033,72580,216443,214045,2398,319178,NA,NA,8.2
"371","2022","Illinois",4.6,439.409,12582032,78020,149995,143793,6202,2215906,NA,NA,9.5
"372","2022","Indiana",3,469.802,6833037,70030,94326,92789,1537,1495818,NA,NA,10.4
"373","2022","Iowa",2.7,446.807,3200517,76320,145746,144669,1077,652792,NA,NA,9.4
"374","2022","Kansas",2.7,465.213,2937150,73040,213100,211754,1346,494733,NA,NA,10.5
"375","2022","Kentucky",3.9,452.164,4512310,55880,104656,102269,2387,1003270,NA,NA,17.1
"376","2022","Louisiana",3.7,369.023,4590241,58330,135659,111898,23761,1025458,NA,NA,16.9
"377","2022","Maine",3,482.607,1385340,75160,91633,79883,11750,311595,NA,NA,9.6
"378","2022","Maryland",3.2,443.493,6164660,108200,32131,25142,6990,1012724,NA,NA,8.6
"379","2022","Massachusetts",3.8,491.173,6981974,93550,27336,20202,7134,1127899,NA,NA,9.6
"380","2022","Michigan",4.2,463.996,10034113,68990,250487,146435,104052,1970618,NA,NA,12.1
"381","2022","Minnesota",2.7,469.704,5717184,90390,225163,206232,18930,918095,NA,NA,7.6
"382","2022","Mississippi",3.9,416.275,2940057,48610,125438,121531,3907,586782,NA,NA,18.4
"383","2022","Missouri",2.5,442.928,6177957,71520,180540,178040,2501,1280433,NA,NA,11.4
"384","2022","Montana",2.6,470.017,1122867,72980,380831,376962,3869,210938,NA,NA,10.4
"385","2022","Nebraska",2.3,481.045,1967923,78360,200330,198974,1356,325873,NA,NA,7.9
"386","2022","Nevada",5.4,511.797,3177772,72330,286380,284332,2048,594523,NA,NA,12
"387","2022","New Hampshire",2.5,484.711,1395231,84970,24214,23187,1027,270974,NA,NA,8.3
"388","2022","New Jersey",3.7,449.892,9261699,92340,22591,19047,3544,1674625,NA,NA,8.7
"389","2022","New Mexico",4,430.654,2113344,56420,314917,314161,757,372067,NA,NA,20.2
"390","2022","New York",4.3,470.714,19677151,75910,141297,122057,19240,3494392,NA,NA,12.7
"391","2022","North Carolina",3.7,502.823,10698973,65070,139391,125920,13471,1804406,NA,NA,14.2
"392","2022","North Dakota",2.1,409.976,779261,78720,183108,178711,4397,132137,NA,NA,9.7
"393","2022","Ohio",4,468.289,11756058,67520,116098,105829,10269,2625857,NA,NA,9.9
"394","2022","Oklahoma",3,437.772,4019800,63440,181037,177660,3377,807154,NA,NA,16.9
"395","2022","Oregon",4.2,537.896,4240137,86780,254799,248608,6191,674062,NA,NA,9.9
"396","2022","Pennsylvania",4.4,448.222,12972008,72210,119280,115883,3397,3058744,NA,NA,10.9
"397","2022","Rhode Island",3.2,429.703,1093734,80650,4001,2678,1324,207211,NA,NA,8.4
"398","2022","South Carolina",3.2,509.903,5282634,61770,82933,77857,5076,1011555,NA,NA,12.9
"399","2022","South Dakota",2.1,453.826,909824,67180,199729,196350,3379,176062,NA,NA,9.1
"400","2022","Tennessee",3.4,513.758,7051339,65380,109153,106798,2355,1498399,NA,NA,10.5
"401","2022","Texas",3.9,528.105,30029572,74640,695662,676587,19075,4626129,NA,NA,13.5
"402","2022","Utah",2.3,592.886,3380800,95800,219882,212818,7064,442373,NA,NA,6
"403","2022","Vermont",2.6,429.465,647064,72190,24906,23871,1035,126697,NA,NA,9
"404","2022","Virginia",2.9,460.069,8683619,85170,110787,102279,8508,1411884,NA,NA,8.3
"405","2022","Washington",4.2,581.4,7785786,89430,184661,172119,12542,1165130,NA,NA,9
"406","2022","West Virginia",3.9,407.567,1775156,52460,62756,62259,497,502333,NA,NA,15.5
"407","2022","Wisconsin",2.9,449.937,5892539,73330,169635,140268,29367,1211254,NA,NA,6.6
"408","2022","Wyoming",3.6,374.167,581381,73090,253335,251470,1864,110277,NA,NA,7.1
