"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"57","2016","Colorado",3.1,460.876,5539215,84670,269601,268431,1170,780033,16.6,942,11
"58","2016","Connecticut",4.8,403.942,3578141,91100,14357,12542,1816,673220,27.4,971,9.9
"59","2016","Delaware",4.5,404.149,948921,69650,6446,5047,1399,199461,30.8,282,11.8
"60","2016","District of Columbia",6.2,426.702,685815,85170,177,158,19,83367,NA,NA,18.5
"61","2016","Florida",4.9,452.916,20613477,61400,170312,138887,31424,4111029,23.7,4728,14.8
"62","2016","Georgia",5.4,452.752,10301890,64230,153910,148959,4951,1850601,13.3,1394,16.1
"63","2016","Hawaii",2.9,430.032,1427559,86550,28313,16635,11678,270583,12.8,191,9.5
"64","2016","Idaho",3.7,449.071,1682380,67870,216443,214045,2398,289085,15.2,243,13.8
"65","2016","Illinois",5.9,412.63,12820527,73650,149995,143793,6202,2287126,18.9,2411,13
"66","2016","Indiana",4.4,425.407,6634304,67310,94326,92789,1537,1486051,24,1526,14
"67","2016","Iowa",3.6,429.9,3131371,70900,145746,144669,1077,656680,10.6,314,11.7
"68","2016","Kansas",4,433.5,2910844,68160,213100,211754,1346,499895,11.1,313,12.2
"69","2016","Kentucky",5,413.407,4438182,54440,104656,102269,2387,990322,33.5,1419,18.2
"70","2016","Louisiana",6.1,388.179,4678135,50630,135659,111898,23761,1038591,21.8,996,20.1
"71","2016","Maine",3.8,414.051,1331317,61020,91633,79883,11750,317373,28.7,353,12.3
"72","2016","Maryland",4.3,433.151,6003323,88500,32131,25142,6990,1030305,33.2,2044,9.7
"73","2016","Massachusetts",4,429.29,6823608,86710,27336,20202,7134,1167098,33,2227,10.5
"74","2016","Michigan",5,428.043,9950571,68500,250487,146435,104052,1978662,24.4,2347,14.9
"75","2016","Minnesota",3.9,434.461,5522744,84250,225163,206232,18930,940315,12.5,672,9.9
"76","2016","Mississippi",5.9,403.213,2987938,49310,125438,121531,3907,593422,12.1,352,21
"77","2016","Missouri",4.5,411.157,6087135,66010,180540,178040,2501,1267813,23.6,1371,14
"78","2016","Montana",4.3,419.8,1040859,68480,380831,376962,3869,207929,11.7,119,13.4
"79","2016","Nebraska",3.1,438.493,1905616,71240,200330,198974,1356,330629,6.4,120,11.3
"80","2016","Nevada",5.8,433.31,2917563,66510,286380,284332,2048,544288,21.7,665,14.1
"81","2016","New Hampshire",2.9,429.63,1342307,91500,24214,23187,1027,264372,39,481,7.6
"82","2016","New Jersey",4.9,413.813,8870827,82150,22591,19047,3544,1726006,23.2,2056,10.4
"83","2016","New Mexico",6.7,405.578,2091630,58130,314917,314161,757,362627,25.2,500,19.1
"84","2016","New York",4.9,422.586,19633428,73720,141297,122057,19240,3569454,18,3638,14.8
"85","2016","North Carolina",5.1,434.036,10154788,64510,139391,125920,13471,1765772,19.7,1956,15.4
"86","2016","North Dakota",3.1,408.813,754434,72210,183108,178711,4397,131086,10.6,77,10.5
"87","2016","Ohio",5,428.003,11634370,64770,116098,105829,10269,2654140,39.1,4329,14.5
"88","2016","Oklahoma",4.6,441.518,3926331,61120,181037,177660,3377,801598,21.5,813,16.1
"89","2016","Oregon",4.7,453.762,4089976,70950,254799,248608,6191,657520,11.9,506,13.4
"90","2016","Pennsylvania",5.3,424.962,12782275,73170,119280,115883,3397,3183249,37.9,4627,12.9
"91","2016","Rhode Island",5.2,410.234,1056770,73830,4001,2678,1324,200648,30.8,326,13.3
"92","2016","South Carolina",4.9,445.914,4957968,65200,82933,77857,5076,963022,18.1,879,15.3
"93","2016","South Dakota",3,419.813,862996,68930,199729,196350,3379,171623,8.4,69,12.9
"94","2016","Tennessee",4.7,433.248,6646010,61610,109153,106798,2355,1451602,24.5,1630,15.8
